item_id,T1_skills,T2_skills,T3_skills,T4_skills,T5_skills,full_agree,supermajority,avg_jaccard,final_skills
FS01,S01 S02,S01 S02,S01 S02,S01 S02,S01 S02,1,1,1.000,S01 S02
FS02,S01 S02,S01 S02,S01 S02,S01 S02,S01 S02,1,1,1.000,S01 S02
FS03,S01 S02,S01 S02,S01 S02,S01 S02,S01 S02,1,1,1.000,S01 S02
FS04,S02 S04,S02,S02,S02,S02 S04,0,0,0.700,S02 S04
FS05,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,S02 S04
FS06,S02,S02,S02,S02,S02,1,1,1.000,S02
FS07,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS08,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,S02 S04
FS09,S02,S02,S02,S02,S02,1,1,1.000,S02
FS10,S02 S03 S04,S02 S03 S04,S02 S03 S04,S02 S03 S04,S02 S03 S04,1,1,1.000,S02 S03 S04
FS11,S02,S02 S04,S02,S02,S02,0,1,0.800,S02
FS12,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,S02 S04
FS13,S01 S02 S03,S01 S02 S03,S01 S02 S03,S01 S02 S03,S01 S02 S03,1,1,1.000,S01 S02 S03
FS14,S02,S02,S02,S02,S02,1,1,1.000,S02
FS15,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS16,S02,S02,S02,S02,S02,1,1,1.000,S02
FS17,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS18,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS19,S02 S03,S02,S02 S03,S01 S02,S02,0,0,0.567,S02
FS20,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,S02 S04
